"booking_id","booking_datetime","city","service_type","customer_segment","customer_age","driver_status","driver_experience_years","payment_method","booking_channel","distance_km","estimated_duration_min","actual_duration_min","waiting_time_min","traffic_level","weather_condition","promo_code_used","discount_amount_vnd","basket_value_vnd","fare_amount_vnd","driver_rating","customer_rating","completed_flag","cancellation_reason","loyalty_points_earned","booking_hour","booking_day","is_weekend","time_period","estimated_speed_kmh","distance_invalid","distance_km_clean"
"GB2025000001",2025-08-05 04:41:00,"Can Tho","GrabFood","Working Professional",38,"Preferred",1.5,"Cash","Mobile App",4.91,15.4,18.2,4.5,"High","Cloudy","WEEKEND",5000,367000,14000,"4.5","4.8","1",NA,"1",4,"Tuesday","Weekday","Early Morning",19.1298701298701,FALSE,4.91
"GB2025000002",2025-03-22 10:28:00,"Ho Chi Minh City","GrabFood","Corporate",43,"Preferred",NA,"Card","Mobile App",2.44,5.8,NA,2.2,"Low","Cloudy","None",0,91000,9000,NA,"4.9","1",NA,"0",10,"Saturday","Weekend","Morning",25.2413793103448,FALSE,2.44
"GB2025000004",2025-07-02 15:56:00,"Hai Phong","GrabFood","Student",30,"High Performer",2.8,"Card","Mobile App",1.79,6.7,8,3.8,"Medium","Rain","None",0,247000,23000,"4.3","4.8","1",NA,"2",15,"Wednesday","Weekday","Afternoon",16.0298507462687,FALSE,1.79
"GB2025000010",2025-12-24 23:48:00,"Da Nang","GrabMart","Tourist",56,"Standard",0.4,"Card","Mobile App",3.58,15,14.3,6.6,"Medium","Cloudy","WEEKEND",4000,279000,26000,"3.9","4.5","1",NA,"2",23,"Wednesday","Weekday","Night",14.32,FALSE,3.58
"GB2025000026",2025-03-26 20:28:00,"Hanoi","GrabMart","Family",19,"New",4.9,"Cash","Mobile App",2,6.8,6.2,11.3,"High","Clear","None",0,57000,7000,"4.6","5","1",NA,"0",20,"Wednesday","Weekday","Evening",17.6470588235294,FALSE,2
"GB2025000029",2025-01-03 04:37:00,"Hanoi","GrabFood","Frequent User",43,"Standard",6.6,"Cash","Mobile App",1.71,8.8,8,2.2,"Medium","Clear","None",0,181000,11000,"4.6","3.6","1",NA,"1",4,"Friday","Weekday","Early Morning",11.6590909090909,FALSE,1.71
"GB2025000033",2025-06-21 10:39:00,"Da Nang","GrabFood","Working Professional",44,"High Performer",5.2,"Corporate Account","Mobile App",2.32,10.8,14,3.8,"Low","Cloudy","WEEKEND",4000,418000,11000,"4.7","4.4","1",NA,"1",10,"Saturday","Weekend","Morning",12.8888888888889,FALSE,2.32
"GB2025000040",2025-08-09 08:21:00,"Ho Chi Minh City","GrabFood","Family",35,"Standard",1.4,"Moca Wallet","Mobile App",3.89,19.8,22.8,3.1,"Medium","Clear","None",0,275000,27000,"4.2","4.0","1",NA,"2",8,"Saturday","Weekend","Morning",11.7878787878788,FALSE,3.89
"GB2025000042",2025-07-28 02:26:00,"Ho Chi Minh City","GrabFood","Student",22,"High Performer",0.4,"Corporate Account","Mobile App",2.94,13.3,12.2,1.7,"Medium","Clear","None",0,275000,28000,"5","5","1",NA,"2",2,"Monday","Weekday","Early Morning",13.2631578947368,FALSE,2.94
"GB2025000049",2025-06-20 22:30:00,"Hanoi","GrabMart","Student",18,"New",1,"Moca Wallet","Mobile App",5.67,29,38.6,4.1,"Medium","Cloudy",NA,0,130000,16000,"5","4.9","1",NA,"1",22,"Friday","Weekday","Night",11.7310344827586,FALSE,5.67
"GB2025000051",2025-05-17 14:02:00,"Bien Hoa","GrabMart","Tourist",58,"Standard",1.8,"Moca Wallet","Mobile App",1.65,7.5,9.9,11.4,"Medium","Rain","WEEKEND",2000,272000,15000,"4.4","4.7","1",NA,"1",14,"Saturday","Weekend","Afternoon",13.2,FALSE,1.65
"GB2025000053",2025-09-02 23:23:00,"Ho Chi Minh City","GrabFood","Tourist",56,"New",1.2,"Moca Wallet","Mobile App",2.32,9.2,9.3,NA,"Medium","Clear","None",0,314000,26000,"4.5","4.9","1",NA,"2",23,"Tuesday","Weekday","Night",15.1304347826087,FALSE,2.32
"GB2025000066",2025-12-10 20:54:00,"Hanoi","GrabFood","Student",61,"New",1.7,"Moca Wallet","Mobile App",2.69,9.2,12,6.5,"Low","Clear","WEEKEND",1000,336000,14000,"4.6","4.8","1",NA,"1",20,"Wednesday","Weekday","Evening",17.5434782608696,FALSE,2.69
"GB2025000069",2025-09-17 16:42:00,"Da Nang","GrabMart","Family",56,"High Performer",1.6,"Moca Wallet","Partner App",5.75,26.5,31.6,5.7,"High","Clear","None",0,69000,18000,"4.1","4.4","1",NA,"1",16,"Wednesday","Weekday","Afternoon",13.0188679245283,FALSE,5.75
"GB2025000074",2025-04-23 00:50:00,"Ho Chi Minh City","GrabFood","Tourist",30,"High Performer",4.5,"Cash","Mobile App",5.07,21.7,24,9,"Low","Heavy Rain","None",0,47000,11000,NA,NA,"0","Driver unavailable","0",0,"Wednesday","Weekday","Early Morning",14.0184331797235,FALSE,5.07
