"booking_id","customer_segment","service_type","customer_age","city","payment_method","booking_channel","distance_km_clean","time_period","is_weekend","promo_code_used","discount_amount_vnd","traffic_level","weather_condition","basket_value_vnd"
"GB2025000002","Corporate","GrabFood",43,"Ho Chi Minh City","Card","Mobile App",2.44,"Morning","Weekend","None",0,"Low","Cloudy",91000
"GB2025000004","Student","GrabFood",30,"Hai Phong","Card","Mobile App",1.79,"Afternoon","Weekday","None",0,"Medium","Rain",247000
"GB2025000010","Tourist","GrabMart",56,"Da Nang","Card","Mobile App",3.58,"Night","Weekday","WEEKEND",4000,"Medium","Cloudy",279000
"GB2025000033","Working Professional","GrabFood",44,"Da Nang","Corporate Account","Mobile App",2.32,"Morning","Weekend","WEEKEND",4000,"Low","Cloudy",418000
"GB2025000040","Family","GrabFood",35,"Ho Chi Minh City","Moca Wallet","Mobile App",3.89,"Morning","Weekend","None",0,"Medium","Clear",275000
"GB2025000042","Student","GrabFood",22,"Ho Chi Minh City","Corporate Account","Mobile App",2.94,"Early Morning","Weekday","None",0,"Medium","Clear",275000
"GB2025000051","Tourist","GrabMart",58,"Bien Hoa","Moca Wallet","Mobile App",1.65,"Afternoon","Weekend","WEEKEND",2000,"Medium","Rain",272000
"GB2025000053","Tourist","GrabFood",56,"Ho Chi Minh City","Moca Wallet","Mobile App",2.32,"Night","Weekday","None",0,"Medium","Clear",314000
"GB2025000066","Student","GrabFood",61,"Hanoi","Moca Wallet","Mobile App",2.69,"Evening","Weekday","WEEKEND",1000,"Low","Clear",336000
"GB2025000069","Family","GrabMart",56,"Da Nang","Moca Wallet","Partner App",5.75,"Afternoon","Weekday","None",0,"High","Clear",69000
"GB2025000074","Tourist","GrabFood",30,"Ho Chi Minh City","Cash","Mobile App",5.07,"Early Morning","Weekday","None",0,"Low","Heavy Rain",47000
"GB2025000075","Family","GrabFood",18,"Hanoi","Moca Wallet","Mobile App",2.51,"Afternoon","Weekday","LOYALTY",3000,"Low","Clear",226000
"GB2025000082","Corporate","GrabFood",49,"Ho Chi Minh City","Moca Wallet","Mobile App",2.77,"Morning","Weekday","LOYALTY",4000,"Medium","Cloudy",155000
"GB2025000084","Family","GrabFood",21,"Ho Chi Minh City","Card","Mobile App",1.6,"Morning","Weekday","None",0,"High","Rain",123000
"GB2025000086","Family","GrabMart",61,"Da Nang","Card","Mobile App",3.15,"Afternoon","Weekday","FOOD20",3000,"Low","Clear",116000
"GB2025000089","Working Professional","GrabFood",42,"Hanoi","Card","Mobile App",2.11,"Morning","Weekend","LOYALTY",1000,"Medium","Clear",118000
"GB2025000101","Tourist","GrabFood",37,"Da Nang","Cash","Mobile App",1,"Evening","Weekday","None",0,"Low","Rain",449000
"GB2025000108","Working Professional","GrabMart",61,"Hanoi","Moca Wallet","Mobile App",2.23,"Early Morning","Weekday","None",0,"Medium","Clear",161000
"GB2025000112","Tourist","GrabMart",20,"Da Nang","Cash","Mobile App",3.71,"Night","Weekday","None",0,"Low","Clear",382000
"GB2025000114","Student","GrabFood",21,"Hanoi","Cash","Mobile App",1.79,"Early Morning","Weekday","FOOD20",2000,"Severe","Clear",426000
"GB2025000125","Tourist","GrabMart",27,"Da Nang","Card","Mobile App",2.48,"Early Morning","Weekday","None",0,"High","Unknown",298000
"GB2025000127","Student","GrabFood",41,"Ho Chi Minh City","Corporate Account","Mobile App",4.59,"Morning","Weekend","RIDE10",2000,"Medium","Clear",230000
"GB2025000128","Working Professional","GrabFood",47,"Hanoi","Card","Mobile App",2.66,"Early Morning","Weekday","RIDE10",2000,"High","Clear",358000
"GB2025000132","Student","GrabFood",43,"Ho Chi Minh City","Cash","Mobile App",3.95,"Morning","Weekend","None",0,"Medium","Clear",392000
"GB2025000138","Tourist","GrabMart",30,"Ho Chi Minh City","Card","Mobile App",5.58,"Early Morning","Weekday","WEEKEND",4000,"Medium","Clear",55000
"GB2025000148","Family","GrabMart",37,"Hanoi","Moca Wallet","Mobile App",2.56,"Early Morning","Weekday","FOOD20",5000,"High","Clear",57000
"GB2025000155","Corporate","GrabMart",20,"Hanoi","Moca Wallet","Mobile App",13.07,"Afternoon","Weekend","RIDE10",6000,"Low","Clear",73000
"GB2025000159","Frequent User","GrabFood",56,"Ho Chi Minh City","Moca Wallet","Mobile App",3.88,"Early Morning","Weekday","None",0,"Medium","Unknown",2e+05
"GB2025000164","Corporate","GrabMart",27,"Ho Chi Minh City","Moca Wallet","Mobile App",10.22,"Morning","Weekday","None",0,"Medium","Clear",156000
"GB2025000167","Family","GrabFood",25,"Hanoi","Moca Wallet","Mobile App",3.18,"Lunch","Weekend","WELCOME",4000,"Low","Unknown",364000
"GB2025000171","Frequent User","GrabFood",46,"Hanoi","Card","Mobile App",2.18,"Early Morning","Weekday","FOOD20",3000,"Low","Clear",87000
"GB2025000175","Family","GrabFood",44,"Ho Chi Minh City","Corporate Account","Partner App",8.31,"Lunch","Weekday","None",0,"Medium","Clear",311000
