"booking_id","customer_segment","service_type","customer_age","city","payment_method","booking_channel","distance_km_clean","estimated_duration_min","time_period","is_weekend","promo_code_used","discount_amount_vnd","traffic_level","weather_condition","basket_value_vnd"
"GB2025000002","Corporate","GrabFood",43,"Ho Chi Minh City","Card","Mobile App",2.44,5.8,"Morning","Weekend","None",0,"Low","Cloudy",91000
"GB2025000004","Student","GrabFood",30,"Hai Phong","Card","Mobile App",1.79,6.7,"Afternoon","Weekday","None",0,"Medium","Rain",247000
"GB2025000010","Tourist","GrabMart",56,"Da Nang","Card","Mobile App",3.58,15,"Night","Weekday","WEEKEND",4000,"Medium","Cloudy",279000
"GB2025000033","Working Professional","GrabFood",44,"Da Nang","Corporate Account","Mobile App",2.32,10.8,"Morning","Weekend","WEEKEND",4000,"Low","Cloudy",418000
"GB2025000040","Family","GrabFood",35,"Ho Chi Minh City","Moca Wallet","Mobile App",3.89,19.8,"Morning","Weekend","None",0,"Medium","Clear",275000
"GB2025000042","Student","GrabFood",22,"Ho Chi Minh City","Corporate Account","Mobile App",2.94,13.3,"Early Morning","Weekday","None",0,"Medium","Clear",275000
"GB2025000051","Tourist","GrabMart",58,"Bien Hoa","Moca Wallet","Mobile App",1.65,7.5,"Afternoon","Weekend","WEEKEND",2000,"Medium","Rain",272000
"GB2025000053","Tourist","GrabFood",56,"Ho Chi Minh City","Moca Wallet","Mobile App",2.32,9.2,"Night","Weekday","None",0,"Medium","Clear",314000
"GB2025000066","Student","GrabFood",61,"Hanoi","Moca Wallet","Mobile App",2.69,9.2,"Evening","Weekday","WEEKEND",1000,"Low","Clear",336000
"GB2025000069","Family","GrabMart",56,"Da Nang","Moca Wallet","Partner App",5.75,26.5,"Afternoon","Weekday","None",0,"High","Clear",69000
"GB2025000074","Tourist","GrabFood",30,"Ho Chi Minh City","Cash","Mobile App",5.07,21.7,"Early Morning","Weekday","None",0,"Low","Heavy Rain",47000
"GB2025000075","Family","GrabFood",18,"Hanoi","Moca Wallet","Mobile App",2.51,7.7,"Afternoon","Weekday","LOYALTY",3000,"Low","Clear",226000
"GB2025000082","Corporate","GrabFood",49,"Ho Chi Minh City","Moca Wallet","Mobile App",2.77,7.4,"Morning","Weekday","LOYALTY",4000,"Medium","Cloudy",155000
"GB2025000084","Family","GrabFood",21,"Ho Chi Minh City","Card","Mobile App",1.6,5.2,"Morning","Weekday","None",0,"High","Rain",123000
"GB2025000086","Family","GrabMart",61,"Da Nang","Card","Mobile App",3.15,14.8,"Afternoon","Weekday","FOOD20",3000,"Low","Clear",116000
"GB2025000089","Working Professional","GrabFood",42,"Hanoi","Card","Mobile App",2.11,11.1,"Morning","Weekend","LOYALTY",1000,"Medium","Clear",118000
"GB2025000101","Tourist","GrabFood",37,"Da Nang","Cash","Mobile App",1,3.5,"Evening","Weekday","None",0,"Low","Rain",449000
"GB2025000108","Working Professional","GrabMart",61,"Hanoi","Moca Wallet","Mobile App",2.23,10.4,"Early Morning","Weekday","None",0,"Medium","Clear",161000
"GB2025000112","Tourist","GrabMart",20,"Da Nang","Cash","Mobile App",3.71,16.6,"Night","Weekday","None",0,"Low","Clear",382000
"GB2025000114","Student","GrabFood",21,"Hanoi","Cash","Mobile App",1.79,11.1,"Early Morning","Weekday","FOOD20",2000,"Severe","Clear",426000
"GB2025000125","Tourist","GrabMart",27,"Da Nang","Card","Mobile App",2.48,7.7,"Early Morning","Weekday","None",0,"High","Unknown",298000
"GB2025000127","Student","GrabFood",41,"Ho Chi Minh City","Corporate Account","Mobile App",4.59,20,"Morning","Weekend","RIDE10",2000,"Medium","Clear",230000
"GB2025000128","Working Professional","GrabFood",47,"Hanoi","Card","Mobile App",2.66,12.5,"Early Morning","Weekday","RIDE10",2000,"High","Clear",358000
"GB2025000132","Student","GrabFood",43,"Ho Chi Minh City","Cash","Mobile App",3.95,16.7,"Morning","Weekend","None",0,"Medium","Clear",392000
"GB2025000138","Tourist","GrabMart",30,"Ho Chi Minh City","Card","Mobile App",5.58,25.7,"Early Morning","Weekday","WEEKEND",4000,"Medium","Clear",55000
"GB2025000148","Family","GrabMart",37,"Hanoi","Moca Wallet","Mobile App",2.56,11.6,"Early Morning","Weekday","FOOD20",5000,"High","Clear",57000
"GB2025000155","Corporate","GrabMart",20,"Hanoi","Moca Wallet","Mobile App",13.07,56,"Afternoon","Weekend","RIDE10",6000,"Low","Clear",73000
"GB2025000159","Frequent User","GrabFood",56,"Ho Chi Minh City","Moca Wallet","Mobile App",3.88,18.7,"Early Morning","Weekday","None",0,"Medium","Unknown",2e+05
"GB2025000164","Corporate","GrabMart",27,"Ho Chi Minh City","Moca Wallet","Mobile App",10.22,28.5,"Morning","Weekday","None",0,"Medium","Clear",156000
"GB2025000167","Family","GrabFood",25,"Hanoi","Moca Wallet","Mobile App",3.18,7.6,"Lunch","Weekend","WELCOME",4000,"Low","Unknown",364000
"GB2025000171","Frequent User","GrabFood",46,"Hanoi","Card","Mobile App",2.18,8.2,"Early Morning","Weekday","FOOD20",3000,"Low","Clear",87000
"GB2025000175","Family","GrabFood",44,"Ho Chi Minh City","Corporate Account","Partner App",8.31,23.3,"Lunch","Weekday","None",0,"Medium","Clear",311000
"GB2025000176","Student","GrabFood",54,"Bien Hoa","Card","Mobile App",1.71,5.3,"Morning","Weekend","None",0,"High","Cloudy",325000
"GB2025000178","Working Professional","GrabFood",49,"Hai Phong","Card","Mobile App",6.72,28,"Early Morning","Weekday","WELCOME",9000,"Low","Clear",369000
"GB2025000183","Tourist","GrabFood",60,"Ho Chi Minh City","Card","Mobile App",2.97,12.1,"Morning","Weekend","None",0,"Medium","Clear",204000
"GB2025000191","Tourist","GrabFood",50,"Can Tho","Cash","Mobile App",2.91,9.4,"Lunch","Weekday","LOYALTY",5000,"Low","Cloudy",136000
"GB2025000195","Frequent User","GrabMart",52,"Ho Chi Minh City","Moca Wallet","Mobile App",2.77,17.1,"Morning","Weekday","FOOD20",5000,"High","Cloudy",176000
"GB2025000198","Frequent User","GrabFood",54,"Da Nang","Card","Mobile App",1.06,3.4,"Evening","Weekday","LOYALTY",3000,"Medium","Clear",198000
"GB2025000203","Working Professional","GrabFood",35,"Hanoi","Moca Wallet","Mobile App",7.92,40.1,"Morning","Weekday","WEEKEND",5000,"High","Cloudy",146000
"GB2025000207","Student","GrabMart",46,"Hanoi","Cash","Mobile App",5.48,35.8,"Early Morning","Weekday","WELCOME",3000,"Severe","Clear",178000
"GB2025000208","Student","GrabFood",33,"Ho Chi Minh City","Moca Wallet","Mobile App",3.05,15.3,"Afternoon","Weekday","WEEKEND",1000,"Medium","Clear",2e+05
"GB2025000209","Student","GrabFood",50,"Ho Chi Minh City","Moca Wallet","Mobile App",1.46,11,"Evening","Weekday","None",0,"Severe","Clear",141000
"GB2025000223","Tourist","GrabMart",61,"Can Tho","Moca Wallet","Partner App",5.2,17.9,"Evening","Weekday","WELCOME",3000,"Low","Cloudy",326000
"GB2025000225","Tourist","GrabMart",24,"Da Nang","Card","Mobile App",2.2,9.1,"Lunch","Weekday","WELCOME",5000,"High","Clear",437000
"GB2025000227","Student","GrabMart",29,"Ho Chi Minh City","Cash","Mobile App",3.16,12.2,"Evening","Weekday","FOOD20",7000,"Medium","Clear",449000
"GB2025000232","Working Professional","GrabFood",32,"Ho Chi Minh City","Corporate Account","Mobile App",2.34,8.2,"Evening","Weekday","FOOD20",4000,"Low","Clear",385000
"GB2025000236","Tourist","GrabFood",41,"Da Nang","Moca Wallet","Mobile App",4.06,24.9,"Lunch","Weekday","WEEKEND",2000,"High","Rain",205000
"GB2025000241","Tourist","GrabFood",19,"Da Nang","Cash","Mobile App",2.57,6.3,"Evening","Weekend","None",0,"Low","Clear",115000
"GB2025000253","Frequent User","GrabFood",47,"Bien Hoa","Moca Wallet","Mobile App",2.15,13.5,"Early Morning","Weekday","WELCOME",2000,"High","Cloudy",119000
"GB2025000258","Tourist","GrabFood",38,"Ho Chi Minh City","Cash","Mobile App",8.18,29.2,"Early Morning","Weekday","MART15",10000,"Low","Clear",302000
"GB2025000262","Frequent User","GrabMart",37,"Ho Chi Minh City","Card","Mobile App",3.27,8.8,"Night","Weekday","FOOD20",4000,"Medium","Cloudy",261000
"GB2025000264","Family","GrabFood",46,"Ho Chi Minh City","Moca Wallet","Mobile App",4.77,21.4,"Evening","Weekend","None",0,"High","Cloudy",405000
"GB2025000270","Family","GrabFood",58,"Bien Hoa","Cash","Mobile App",4.02,16.6,"Night","Weekday","MART15",1000,"Low","Clear",441000
"GB2025000288","Tourist","GrabFood",58,"Bien Hoa","Moca Wallet","Mobile App",1.36,6.2,"Morning","Weekend","RIDE10",3000,"Medium","Rain",3e+05
"GB2025000296","Frequent User","GrabMart",18,"Da Nang","Cash","Mobile App",3.42,11,"Evening","Weekend","None",0,"Medium","Rain",83000
"GB2025000301","Frequent User","GrabMart",38,"Hanoi","Corporate Account","Mobile App",0.63,2.6,"Early Morning","Weekday","WELCOME",2000,"Medium","Cloudy",111000
"GB2025000304","Student","GrabFood",18,"Bien Hoa","Card","Mobile App",2.58,10.2,"Lunch","Weekday","RIDE10",2000,"Low","Clear",263000
"GB2025000310","Student","GrabFood",21,"Da Nang","Cash","Mobile App",3.22,17.4,"Afternoon","Weekday","MART15",7000,"Medium","Heavy Rain",102000
"GB2025000314","Family","GrabFood",60,"Nha Trang","Corporate Account","Mobile App",3.19,15.9,"Early Morning","Weekday","None",0,"High","Clear",255000
"GB2025000332","Family","GrabFood",58,"Bien Hoa","Card","Partner App",2.13,6.1,"Afternoon","Weekday","None",0,"Medium","Clear",394000
"GB2025000338","Frequent User","GrabMart",61,"Nha Trang","Card","Mobile App",5.76,29.1,"Morning","Weekday","None",0,"Medium","Clear",216000
"GB2025000342","Frequent User","GrabFood",46,"Hanoi","Moca Wallet","Mobile App",3.85,16.1,"Morning","Weekday","None",0,"Medium","Clear",160000
"GB2025000348","Frequent User","GrabFood",49,"Hanoi","Corporate Account","Mobile App",10.94,57.5,"Early Morning","Weekday","LOYALTY",14000,"Medium","Clear",177000
"GB2025000354","Corporate","GrabFood",20,"Da Nang","Card","Mobile App",3.12,7.7,"Evening","Weekday","None",0,"Medium","Clear",98000
"GB2025000357","Family","GrabMart",22,"Da Nang","Card","Mobile App",6.6,19.9,"Evening","Weekday","RIDE10",10000,"Medium","Heavy Rain",88000
"GB2025000358","Student","GrabFood",54,"Ho Chi Minh City","Cash","Mobile App",2.27,7.9,"Evening","Weekday","WELCOME",2000,"Low","Clear",164000
"GB2025000362","Student","GrabFood",28,"Can Tho","Card","Mobile App",2.09,10.6,"Evening","Weekday","None",0,"Medium","Heavy Rain",185000
"GB2025000363","Frequent User","GrabFood",47,"Hanoi","Cash","Mobile App",3.12,12.4,"Night","Weekday","None",0,"Medium","Rain",383000
"GB2025000366","Tourist","GrabMart",38,"Ho Chi Minh City","Cash","Mobile App",4.07,15.5,"Morning","Weekend","LOYALTY",5000,"Low","Clear",433000
"GB2025000369","Corporate","GrabMart",37,"Da Nang","Card","Mobile App",2.65,17,"Afternoon","Weekday","FOOD20",3000,"High","Clear",178000
"GB2025000374","Working Professional","GrabFood",56,"Hanoi","Card","Mobile App",4.2,18.7,"Afternoon","Weekday","WEEKEND",3000,"Low","Clear",211000
"GB2025000376","Family","GrabMart",39,"Hue","Card","Mobile App",5.34,18,"Lunch","Weekday","None",0,"Medium","Cloudy",246000
"GB2025000377","Tourist","GrabFood",35,"Hanoi","Unknown","Mobile App",1.75,8.2,"Night","Weekday","MART15",1000,"Severe","Clear",97000
"GB2025000379","Tourist","GrabFood",48,"Hai Phong","Moca Wallet","Mobile App",2.87,13.9,"Lunch","Weekday","LOYALTY",3000,"High","Cloudy",79000
"GB2025000392","Student","GrabFood",51,"Da Nang","Card","Mobile App",1.15,7.4,"Evening","Weekday","None",0,"High","Cloudy",189000
