"basket_value_vnd","customer_segment","customer_age","service_type","city","payment_method","booking_channel","distance_km_clean","estimated_duration_min","time_period","is_weekend","promo_code_used","discount_amount_vnd","traffic_level","weather_condition"
91000,"Corporate",43,"GrabFood","Ho Chi Minh City","Card","Mobile App",2.44,5.8,"Morning","Weekend","None",0,"Low","Cloudy"
247000,"Student",30,"GrabFood","Hai Phong","Card","Mobile App",1.79,6.7,"Afternoon","Weekday","None",0,"Medium","Rain"
279000,"Tourist",56,"GrabMart","Da Nang","Card","Mobile App",3.58,15,"Night","Weekday","WEEKEND",4000,"Medium","Cloudy"
418000,"Working Professional",44,"GrabFood","Da Nang","Corporate Account","Mobile App",2.32,10.8,"Morning","Weekend","WEEKEND",4000,"Low","Cloudy"
275000,"Family",35,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",3.89,19.8,"Morning","Weekend","None",0,"Medium","Clear"
275000,"Student",22,"GrabFood","Ho Chi Minh City","Corporate Account","Mobile App",2.94,13.3,"Early Morning","Weekday","None",0,"Medium","Clear"
272000,"Tourist",58,"GrabMart","Bien Hoa","Moca Wallet","Mobile App",1.65,7.5,"Afternoon","Weekend","WEEKEND",2000,"Medium","Rain"
314000,"Tourist",56,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",2.32,9.2,"Night","Weekday","None",0,"Medium","Clear"
336000,"Student",61,"GrabFood","Hanoi","Moca Wallet","Mobile App",2.69,9.2,"Evening","Weekday","WEEKEND",1000,"Low","Clear"
69000,"Family",56,"GrabMart","Da Nang","Moca Wallet","Partner App",5.75,26.5,"Afternoon","Weekday","None",0,"High","Clear"
47000,"Tourist",30,"GrabFood","Ho Chi Minh City","Cash","Mobile App",5.07,21.7,"Early Morning","Weekday","None",0,"Low","Heavy Rain"
226000,"Family",18,"GrabFood","Hanoi","Moca Wallet","Mobile App",2.51,7.7,"Afternoon","Weekday","LOYALTY",3000,"Low","Clear"
155000,"Corporate",49,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",2.77,7.4,"Morning","Weekday","LOYALTY",4000,"Medium","Cloudy"
123000,"Family",21,"GrabFood","Ho Chi Minh City","Card","Mobile App",1.6,5.2,"Morning","Weekday","None",0,"High","Rain"
116000,"Family",61,"GrabMart","Da Nang","Card","Mobile App",3.15,14.8,"Afternoon","Weekday","FOOD20",3000,"Low","Clear"
118000,"Working Professional",42,"GrabFood","Hanoi","Card","Mobile App",2.11,11.1,"Morning","Weekend","LOYALTY",1000,"Medium","Clear"
449000,"Tourist",37,"GrabFood","Da Nang","Cash","Mobile App",1,3.5,"Evening","Weekday","None",0,"Low","Rain"
161000,"Working Professional",61,"GrabMart","Hanoi","Moca Wallet","Mobile App",2.23,10.4,"Early Morning","Weekday","None",0,"Medium","Clear"
382000,"Tourist",20,"GrabMart","Da Nang","Cash","Mobile App",3.71,16.6,"Night","Weekday","None",0,"Low","Clear"
426000,"Student",21,"GrabFood","Hanoi","Cash","Mobile App",1.79,11.1,"Early Morning","Weekday","FOOD20",2000,"Severe","Clear"
298000,"Tourist",27,"GrabMart","Da Nang","Card","Mobile App",2.48,7.7,"Early Morning","Weekday","None",0,"High","Unknown"
230000,"Student",41,"GrabFood","Ho Chi Minh City","Corporate Account","Mobile App",4.59,20,"Morning","Weekend","RIDE10",2000,"Medium","Clear"
358000,"Working Professional",47,"GrabFood","Hanoi","Card","Mobile App",2.66,12.5,"Early Morning","Weekday","RIDE10",2000,"High","Clear"
392000,"Student",43,"GrabFood","Ho Chi Minh City","Cash","Mobile App",3.95,16.7,"Morning","Weekend","None",0,"Medium","Clear"
55000,"Tourist",30,"GrabMart","Ho Chi Minh City","Card","Mobile App",5.58,25.7,"Early Morning","Weekday","WEEKEND",4000,"Medium","Clear"
57000,"Family",37,"GrabMart","Hanoi","Moca Wallet","Mobile App",2.56,11.6,"Early Morning","Weekday","FOOD20",5000,"High","Clear"
73000,"Corporate",20,"GrabMart","Hanoi","Moca Wallet","Mobile App",13.07,56,"Afternoon","Weekend","RIDE10",6000,"Low","Clear"
2e+05,"Frequent User",56,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",3.88,18.7,"Early Morning","Weekday","None",0,"Medium","Unknown"
156000,"Corporate",27,"GrabMart","Ho Chi Minh City","Moca Wallet","Mobile App",10.22,28.5,"Morning","Weekday","None",0,"Medium","Clear"
364000,"Family",25,"GrabFood","Hanoi","Moca Wallet","Mobile App",3.18,7.6,"Lunch","Weekend","WELCOME",4000,"Low","Unknown"
87000,"Frequent User",46,"GrabFood","Hanoi","Card","Mobile App",2.18,8.2,"Early Morning","Weekday","FOOD20",3000,"Low","Clear"
311000,"Family",44,"GrabFood","Ho Chi Minh City","Corporate Account","Partner App",8.31,23.3,"Lunch","Weekday","None",0,"Medium","Clear"
325000,"Student",54,"GrabFood","Bien Hoa","Card","Mobile App",1.71,5.3,"Morning","Weekend","None",0,"High","Cloudy"
369000,"Working Professional",49,"GrabFood","Hai Phong","Card","Mobile App",6.72,28,"Early Morning","Weekday","WELCOME",9000,"Low","Clear"
204000,"Tourist",60,"GrabFood","Ho Chi Minh City","Card","Mobile App",2.97,12.1,"Morning","Weekend","None",0,"Medium","Clear"
